	Strain	Time
S10	WT	8
S11	WT	12
S12	WT	14
S13	WT	2
S14	WT	4
S15	WT	6
S16	WT	8
S17	WT	14
S18	ZeLa_B6	4
S19	ZeLa_B6	6
S1	WT	2
S20	ZeLa_B6	8
S21	ZeLa_B6	14
S22	ZeLa_B6	2
S23	ZeLa_B6	4
S24	ZeLa_B6	8
S25	ZeLa_B6	12
S26	ZeLa_B6	14
S27	ZeLa_B6	2
S28	ZeLa_B6	4
S29	ZeLa_B6	6
S2	WT	4
S30	ZeLa_B6	8
S31	ZeLa_B6	12
S32	ZeLa_B6	14
S33	ZeLa_B6	2
S34	ZeLa_B6	4
S35	ZeLa_B6	6
S36	ZeLa_B6	8
S37	ZeLa_B6	14
S38	ZeLa_B6	2
S39	ZeLa_B6	4
S3	WT	6
S40	ZeLa_B6	6
S41	ZeLa_B6	8
S42	ZeLa_B6	12
S43	ZeLa_B6	14
S4	WT	8
S5	WT	12
S6	WT	14
S7	WT	2
S8	WT	4
S9	WT	6
