Sample Name,Component Name,Component Group Name,Expected RT,Retention Time Delta (min),Area,Height,Quality
21_CS1-1_t0,pyr.pyr_m0-0,pyr,4.553,0.035217346,625393.5133,94910.85754,0.684264718
21_CS1-1_t0,pyr.pyr_m1-0,pyr,4.553,0.033071527,24684.53795,3826.160246,0.619888379
21_CS1-1_t0,pyr.pyr_m2-0,pyr,4.553,0.031469818,9054.077315,1293.367657,0.112385628
21_CS1-1_t0,pyr.pyr_m3-0,pyr,4.553,0.028443633,55224.73659,8341.278004,0.825862515
21_CS1-1_t0,succ.succ_m0-0,succ,13.114,0.002887601,19096803.58,2466314.477,0.930679813
21_CS1-1_t0,succ.succ_m1-1,succ,13.114,0.00432972,933310.8436,122453.0728,0.911948131
21_CS1-1_t0,succ.succ_m2-2,succ,13.114,0.008371525,166538.9394,23462.20689,0.629658841
21_CS1-1_t0,succ.succ_m3-3,succ,13.114,0.017406068,7237.727218,1041.013542,0.496609386
21_CS1-1_t0,succ.succ_m4-4,succ,13.114,0.406587483,7500.845748,1167.237542,0.252636949
21_CS1-1_t0,mal-L.mal-L_m0-0,mal-L,13.646,0.089096742,139824972.7,6951114.731,0
21_CS1-1_t0,mal-L.mal-L_m1-1,mal-L,13.417,0.075470292,38915293.99,3317381.43,1
21_CS1-1_t0,mal-L.mal-L_m2-2,mal-L,13.417,0.071292032,8022674.112,905805.8794,0.937201567
21_CS1-1_t0,mal-L.mal-L_m3-3,mal-L,13.417,0.072152722,843382.0882,96792.29796,0.923945017
21_CS1-1_t0,mal-L.mal-L_m4-4,mal-L,13.417,0.071503237,58852.5971,6996.213809,0.525969575
21_CS1-1_t0,akg.akg_m0-0,akg,13.881,0.037444919,13200415.68,3335146.062,1
21_CS1-1_t0,akg.akg_m1-0,akg,13.881,0.038058597,152487.4572,42928.62248,1
21_CS1-1_t0,akg.akg_m1-1,akg,13.881,0.036692885,685851.4536,171875.3004,1
21_CS1-1_t0,akg.akg_m2-1,akg,13.881,0.035033256,23112.32984,6253.367512,0.991275199
21_CS1-1_t0,akg.akg_m2-2,akg,13.881,0.026997093,216920.9128,37229.06129,0.820687376
21_CS1-1_t0,akg.akg_m3-2,akg,13.881,N/A,N/A,N/A,N/A
21_CS1-1_t0,akg.akg_m3-3,akg,13.881,0.0178246,20699.01243,2215.45259,1
21_CS1-1_t0,akg.akg_m4-3,akg,13.881,N/A,N/A,N/A,N/A
21_CS1-1_t0,akg.akg_m4-4,akg,13.881,0.063209027,79714.73292,16370.80927,0.893511936
21_CS1-1_t0,akg.akg_m5-4,akg,13.881,N/A,N/A,N/A,N/A
21_CS1-1_t0,acon-C.acon-C_m0-0,acon-C,15.881,0.001147854,369182.7481,103017.0415,0.200117221
21_CS1-1_t0,acon-C.acon-C_m1-0,acon-C,15.881,0.003567745,4798.271795,1615.384615,0.13823308
21_CS1-1_t0,acon-C.acon-C_m1-1,acon-C,15.881,0.004870636,17718.50874,5021.674799,0.065101572
21_CS1-1_t0,acon-C.acon-C_m2-1,acon-C,15.881,N/A,N/A,N/A,N/A
21_CS1-1_t0,acon-C.acon-C_m2-2,acon-C,15.881,0.02915938,221169.8881,58869.04762,0.224230168
21_CS1-1_t0,acon-C.acon-C_m3-2,acon-C,15.881,N/A,N/A,N/A,N/A
21_CS1-1_t0,acon-C.acon-C_m3-3,acon-C,15.881,0.028461342,8821.376406,2428.273794,0.110192137
21_CS1-1_t0,acon-C.acon-C_m4-3,acon-C,15.881,N/A,N/A,N/A,N/A
