reaction	minimum	maximum
ALAGLNNaEx: ala_L_e + gln_L_c + na1_e --> ala_L_c + gln_L_e + na1_c	[0.]	[0.]
THRALANaEx: ala_L_c + na1_e + thr_L_e --> ala_L_e + na1_c + thr_L_c	[1000.]	[0.]
ALAtN1: ala_L_e + h_c + 2.0 na1_e <=> ala_L_c + h_e + 2.0 na1_c	[1000.]	[0.]
ALATRAH: alatrna_c + h2o_c --> ala_L_c + h_c + trnaala_c	[1000.]	[-1000.]
RE2642C: CE1554_c + h2o_c <=> ac_c + ala_L_c	[1000.]	[0.]
GTMLTe: ala_L_c + gthrd_c --> cgly_e + gluala_e	[0.]	[0.]
ALAATB0tc: ala_L_e + cl_e + 2.0 na1_e --> ala_L_c + cl_c + 2.0 na1_c	[1000.]	[0.]
ORNALArBATtc: ala_L_c + orn_e --> ala_L_e + orn_c	[1000.]	[0.]
ALAGLNexR: ala_L_e + gln_L_c <=> ala_L_c + gln_L_e	[1000.]	[0.]
ALAALACNc: alaala_c + h2o_c --> 2.0 ala_L_c	[1000.]	[-1000.]
SELCYSLY: dtt_c + selcys_c --> ala_L_c + dttOX_c + h_c + seln_c	[1000.]	[0.]
ALAyLATthc: ala_L_e + arg_L_c + h_e --> ala_L_c + arg_L_e + h_c	[0.]	[0.]
r1567: ala_L_e + asn_L_c <=> ala_L_c + asn_L_e	[1000.]	[0.]
r1918: ala_L_e + arg_L_c + na1_e --> ala_L_c + arg_L_e + na1_c	[1000.]	[-1000.]
ALATRS: ala_L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c	[1000.]	[0.]
ALAGLYexR: ala_L_e + gly_c <=> ala_L_c + gly_e	[1000.]	[8.29202549e-12]
ALAt2rL: ala_L_l + h_l <=> ala_L_c + h_c	[1000.]	[-1000.]
SELCYSLY2: pdx5p_c + selcys_c --> ala_L_c + h_c + pydx5p_c + seln_c	[0.]	[0.]
r1692: ala_L_e + na1_e + phe_L_c --> ala_L_c + na1_c + phe_L_e	[1000.]	[0.]
r0156: gln_L_c + pyr_c --> HC00591_c + ala_L_c	[1000.]	[0.]
ALASERNaEx: ala_L_e + na1_e + ser_L_c --> ala_L_c + na1_c + ser_L_e	[1000.]	[0.]
r1568: ala_L_e + val_L_c <=> ala_L_c + val_L_e	[1000.]	[0.]
4HPROLTASCT1: 4hpro_LT_c + ala_L_e + na1_e --> 4hpro_LT_e + ala_L_c + na1_c	[1000.]	[-1000.]
r1559: ala_L_e + ser_L_c <=> ala_L_c + ser_L_e	[1000.]	[0.]
r1919: ala_L_e + na1_e + orn_c --> ala_L_c + na1_c + orn_e	[1000.]	[-1000.]
r1853: ala_L_c + na1_e + val_L_e --> ala_L_e + na1_c + val_L_c	[1000.]	[0.]
ALAASNNaEx: ala_L_e + asn_L_c + na1_e --> ala_L_c + asn_L_e + na1_c	[1000.]	[0.]
ALAR: ala_L_c <=> ala_D_c	[1000.]	[0.]
biomass_producing: 0.56773442 ala_L_c + 0.312161549 arg_L_c + 0.264077687 asn_L_c + 0.325620114 asp_L_c + 29.87198884 atp_c + 0.034769644 chsterol_c + 0.002651419 clpn_cho_c + 0.038816317 ctp_c + 0.105033017 cys_L_c + 0.013363374 datp_c + 0.00940217 dctp_c + 0.00940217 dgtp_c + 0.013363374 dttp_c + 0.446518685 gln_L_c + 0.383359124 glu_L_c + 0.602623946 gly_c + 0.025685906 glygn2_c + 0.04104106 gtp_c + 23.40595158 h2o_c + 0.121635409 his_L_c + 0.27833759 ile_L_c + 0.540176701 leu_L_c + 0.490051817 lys_L_c + 0.133476463 met_L_c + 0.000687405 pa_cho_c + 0.007266852 pail_cho_c + 0.052046375 pchol_cho_c + 0.019934744 pe_cho_c + 0.000589204 pglyc_cho_c + 0.236049468 phe_L_c + 0.280724784 pro_L_c + 0.006579447 ps_cho_c + 0.408331149 ser_L_c + 0.008543462 sphmyln_cho_c + 0.004332379 tag_cho_c + 0.322836037 thr_L_c + 0.031823293 trp_L_c + 0.165928502 tyr_L_c + 0.034040121 utp_c + 0.407858583 val_L_c + 0.022380884 xolest_cho_c --> 29.83030991 adp_c + 29.83030991 h_c + 29.83030991 pi_c + 0.201107511 ppi_c	[1000.]	[-1000.]
GLNALANaEx: ala_L_c + gln_L_e + na1_e --> ala_L_e + gln_L_c + na1_c	[-1.9839163e-13]	[0.]
r1569: ala_L_e + thr_L_c <=> ala_L_c + thr_L_e	[1000.]	[0.]
r1693: ala_L_e + na1_e + tyr_L_c --> ala_L_c + na1_c + tyr_L_e	[1000.]	[-1000.]
biomass: 0.449091248 ala_L_c + 0.24692711 arg_L_c + 0.208891647 asn_L_c + 0.257573151 asp_L_c + 29.93484474 atp_c + 0.086970857 chsterol_c + 0.006632113 clpn_cho_c + 0.097355132 ctp_c + 0.083083581 cys_L_c + 0.035778189 datp_c + 0.025172729 dctp_c + 0.025172729 dgtp_c + 0.035778189 dttp_c + 0.353206758 gln_L_c + 0.303246063 glu_L_c + 0.476689682 gly_c + 0.025685906 glygn2_c + 0.102935005 gtp_c + 24.74849172 h2o_c + 0.096216462 his_L_c + 0.220171565 ile_L_c + 0.427292446 leu_L_c + 0.387642487 lys_L_c + 0.105583014 met_L_c + 0.001719437 pa_cho_c + 0.018176901 pail_cho_c + 0.130185913 pchol_cho_c + 0.049863661 pe_cho_c + 0.001473803 pglyc_cho_c + 0.186720668 phe_L_c + 0.222059892 pro_L_c + 0.016457464 ps_cho_c + 0.32299952 ser_L_c + 0.02137014 sphmyln_cho_c + 0.010836772 tag_cho_c + 0.255370881 thr_L_c + 0.025172972 trp_L_c + 0.131253338 tyr_L_c + 0.085375963 utp_c + 0.32262571 val_L_c + 0.055982301 xolest_cho_c --> 29.83030991 adp_c + 29.83030991 h_c + 29.83030991 pi_c + 0.512102766 ppi_c	[1000.]	[0.]
r1560: ala_L_e + met_L_c <=> ala_L_c + met_L_e	[-6.49281697e-13]	[0.]
CYSALANaEx: ala_L_c + cys_L_e + na1_e --> ala_L_e + cys_L_c + na1_c	[1000.]	[-1000.]
r1917: ala_L_e + lys_L_c + na1_e --> ala_L_c + lys_L_e + na1_c	[1000.]	[0.]
LFORKYNHYD: Lfmkynr_c + h2o_c --> ala_L_c + h_c + nformanth_c	[1000.]	[0.]
