gene,entrez_gene_id
Ubc,100689267
Ncaph2,100756862
Huwe1,100757403
Isg20l2,100752909
Coq8b,100770066
Dctn2,100757525
Scap,100689048
Prmt5,100768836
Stx8|Rpl9,100758533
Fbl,100765730
Nup62|Il4i1,100769030
Sf3b1,100772265
Ddx55,100767780
Cdan1,100756905
Srcap,100751782
Pi4kb,100770133
Snupn,100761247
Pak2,100751503
Rnpc3,100773770
Tonsl,100761088
Fasn,100689207
Rrm2,100752542
Uba5,100762493
Nup205,100773309
Gmppb,100760573
Nxf1,100753177
Rpl23a,100761992
Ptbp1,100752134
Nipbl,100772261
Gapdh,100736557
Chd8,100750414
Eef2,100689051
Rabggta,100757505
Prmt1,100765197
Sdad1,100769914
Msto1,100753624
Aco2,100759203
Tial1,100757458
Mrpl24,100752311
Med12,100755999
Usp39,100773035
Ahctf1,100768805
LOC103161269,103161269
Tubb,100689091
Prorp,100757198
Mettl14,100774068
Tcp1,100689476
Pmf1,100756436
Grwd1,100774235
Yars1,100751260
Crcp,100756386
Nploc4,100754863
Tsfm,100761292
LOC100763079,100763079
Trmt5,100752861
Psmd11,100773369
Nrbp1,100768309
Slc4a7,100770901
Telo2,100774669
Unc45a,100765013
Snrnp70,100770370
Stx5,100756021
Ttf1,100764309
Rrp12,100757192
Prune1,100766866
Trmt61a,100757200
Rpl10,100758401
Incenp,100770889
Nhp2,100759402
Pi4ka,100756055
Pola2,100768307
Prim2,100772954
LOC113839111,113839111
Aars2,100754221
Rasa2,100765379
Trappc13,100761869
Sqle,100764834
Nop16,100751232
Psma3,100758978
Cpsf3,100758811
Lamtor2,100758275
Folr1|Nup98,100760516
Mtg1,100753782
Rpp25l,100771203
Cenatac,100759181
Slc16a10|Rpl17,100763788
Aifm1,100771367
Trrap,100763987
Gemin6,100756163
Acaca,100762904
Iscu,100773802
Uba2,100764381
Lsm4,100769464
Elp6,100764169
Hypk,100753787
Ciao2b,100760527
Supt16h,100750703
Kmt2a,100760424
Mepce,100754545
Tars2,100762707
Samm50,100769261
Anapc5,100766376
Srp68,100760316
Ercc2,100689272
Prim1,100762443
Ubtf,100689026
Cad,100689232
Urb2,100768105
Gemin7,100753426
Nop56,100771954
Spcs3,100753146
Aars1,100766178
Mto1,100754228
Mrpl37,100752974
Tsen2,100768441
Coasy,100757898
Psmc3,100689203
Dhodh,100756632
Mrpl38,100758580
Polr1c,100758205
LOC100757535,100757535
Psmc4,100766608
Pfn1,100753478
Ruvbl2,100770081
Dhx30,100763879
Rfc2,100770063
Mrpl12,100755729
Srsf7,100758380
Brf1,100753600
Rrm1,100761591
Sf3a2,100771292
Coq5,100750776
Srpra,100758562
Trmu,100759274
Mre11,100750877
Rrn3,100751564
LOC100766053,100766053
Foxred1,100758274
Exosc8,100769802
Slf1,100753941
Gins2,100758038
Gfm2__2,
LOC103159270,103159270
Sacm1l,100763030
Ogt,100768670
Dhx36,100771317
Sf3a3,100751561
Hnrnpl,100768344
Hyou1,100689308
Mrps30,100753404
Cdk7,100769780
Nup85,100770676
Snrpd3,100768269
Tubgcp3,100760005
Srp14,100761457
Ddx39b,100773161
Rpl32,100770845
Use1,100756228
Fam32a,100759796
Ppcdc,100766343
Mrps16,100762457
Hspd1,100689473
Polr1a,100767957
Rps24,100754112
Arih1,100755555
Ndufb10,100754681
Gnl2,100753926
Pdgfrb,100764374
Trappc1,100762000
Ndufa2,100754444
Pes1,100770230
Cnot1,100761778
Rps14,100689292
Lage3,100761505
Nsmce1,100763072
Chaf1b,100751472
Ngrn,100771747
Surf6,100771435
Smarca4,100756329
Rbm25,100770267
Sars1,100689195
Noc2l,100772415
Pold2,100762815
Aldoa,100771717
Uhrf1,100758459
Lars2,100758963
Sec61a1,100767375
Cog8,100759350
Atp6v1a,100768315
Dmac2,100774519
Cltc,100756644
Pelp1,100775022
Exoc1,100770306
C2H18orf21,100767460
Fastkd5|Ubox5,103163403
Rpl7l1,100769012
Mak16,100760844
Rad9a,100761098
Gtf2h3,100768069
Sc5d,100752960
Fdft1,100689192
Hsd17b7,100767580
Rack1,100767670
Ppm1f,100758939
Birc6,100689237
Hspa9,100689405
Hnrnpu,100767942
Polr1b,100769834
Psmd14,100764392
Dnaja3,100774313
Ints1,100764130
Atp5mf,103160361
Ss18l2,100771870
Supv3l1,100765993
Pex1,100763358
Rars2,100768428
Yars2,100751113
Dhdds,100767025
LOC100753562,100753562
Ak2,100756723
Aup1,100760920
Atp5f1a,100770431
LOC100762870|LOC100759689,100762870
Hsd17b10,100757689
Rtcb,100753929
Psmc1,100770051
Sf3b2,100764490
Timm44,100758774
Polr3a,100753811
Fars2,100761130
Rpf1,100767673
Actr6,100762739
Banp,100768192
Alg5,100769679
Nadk2,100773611
Fbxo5,100773759
Poln|Haus3,100770464
Wnk1,100755657
Atic,100750895
Xpo5,100755295
Cct3,100755267
Nars1,100764751
Gpn1,100757373
Mtg2,100754227
Wdr55,100755022
Rps15a,100751993
Set__2,
Ndufa13,100762893
Ndor1,100771833
Gtf3c3,100759578
Rpl18,100774500
Elac2,107977006
Rps5,103163645
Ercc3,100689367
Cstf1,100761066
Arcn1,100758971
