gene.id,gene.name,entrez_gene_symbol
103161104,Hsd17b4,Hsd17b4
100766370,Alas1,Alas1
100763091,Amt,Amt
100689437,Dld,Dld
100754714,Shmt2,Shmt2
100770742,Ndufaf5,Ndufaf5
100750969,Ahcy,Ahcy
100762713,Dnmt1,Dnmt1
100752327,Mat2a,Mat2a
100763416,Mtr,Mtr
100771594,Txnrd1,Txnrd1
100689450,Gne,Gne
100758493,Pola1,Pola1
100762815,Pold2,Pold2
100774890,Rev3l,Rev3l
100751096,Poll,Poll
100773935,Pold1,Pold1
100753174,Rfc5,Rfc5
100756090,Pold3,Pold3
100774671,Pole,Pole
100768307,Pola2,Pola2
100770567,Eif4g1,Eif4g1
100763004,Eif3g,Eif3g
100753359,Eif3l,Eif3l
100769028,Eif3f,Eif3f
100689276,Eef1a1,Eef1a1
100689310,Eef1e1,Eef1e1
100689051,Eef2,Eef2
100758677,Eif4g2,Eif4g2
100771190,Eif3e,Eif3e
100753545,Eef1g,Eef1g
100766600,Eif3k,Eif3k
100762979,Eif3b,Eif3b
100768213,Eif3m,Eif3m
100753319,Eif3i,Eif3i
100757133,Eif4a3,Eif4a3
100752118,Eif3a,Eif3a
100751998,Eif3h,Eif3h
100754156,Polr2f,Polr2f
100753139,Polr1h,Polr1h
100689016,Polr2a,Polr2a
100767520,Polr3d,Polr3d
100751282,Polr1e,Polr1e
100754513,Polr2e,Polr2e
100769706,Polr2h,Polr2h
100757843,Polr1d,Polr1d
100762430,Polrmt,Polrmt
100752999,Polr3c,Polr3c
100755604,Polr2d,Polr2d
100759724,Polr3b,Polr3b
100769834,Polr1b,Polr1b
100764912,Polr3e,Polr3e
100766844,Polr3f,Polr3f
100758205,Polr1c,Polr1c
100767957,Polr1a,Polr1a
100753811,Polr3a,Polr3a
100766803,Pnpt1,Pnpt1
100754072,Polr2g,Polr2g
100755901,Polr2b,Polr2b
100759203,Aco2,Aco2
100773325,Acly,Acly
100764862,Ogdh,Ogdh
