NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
100689048	Scap	SREBF chaperone	Cricetulus griseus	PROTEIN_CODING	1	22937	NCBI Ortholog
100770898	Nsf	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	Cricetulus griseus	PROTEIN_CODING	3	4905	NCBI Ortholog
100682536	Abcb1	ATP binding cassette subfamily B member 1	Cricetulus griseus	PROTEIN_CODING	4		
100689028	Dhfr	dihydrofolate reductase	Cricetulus griseus	PROTEIN_CODING	1	1719	NCBI Ortholog
100689272	Ercc2	ERCC excision repair 2, TFIIH core complex helicase subunit	Cricetulus griseus	PROTEIN_CODING	3	2068	NCBI Ortholog
100689091	Tubb	tubulin beta class I	Cricetulus griseus	PROTEIN_CODING	2	203068	NCBI Ortholog
100736554	Pea15	proliferation and apoptosis adaptor protein 15	Cricetulus griseus	PROTEIN_CODING	1	8682	NCBI Ortholog
100758826	Sar1b	secretion associated Ras related GTPase 1B	Cricetulus griseus	PROTEIN_CODING	4	51128	NCBI Ortholog
100689015	Pex5	peroxisomal biogenesis factor 5	Cricetulus griseus	PROTEIN_CODING	6	5830	NCBI Ortholog
100689078	Rad51c	RAD51 paralog C	Cricetulus griseus	PROTEIN_CODING	8	5889	NCBI Ortholog
100689305	Hspa5	heat shock protein family A (Hsp70) member 5	Cricetulus griseus	PROTEIN_CODING	1	3309	NCBI Ortholog
100756363	Hmgcr	3-hydroxy-3-methylglutaryl-CoA reductase	Cricetulus griseus	PROTEIN_CODING	4	3156	NCBI Ortholog
100682525	Tp53	tumor protein p53	Cricetulus griseus	PROTEIN_CODING	1	7157	NCBI Ortholog
100682529	Mgat1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Cricetulus griseus	PROTEIN_CODING	4	4245	NCBI Ortholog
100689045	Rpsa	ribosomal protein SA	Cricetulus griseus	PROTEIN_CODING	1	3921	NCBI Ortholog
100689051	Eef2	eukaryotic translation elongation factor 2	Cricetulus griseus	PROTEIN_CODING	1	1938	NCBI Ortholog
100689023	Slc20a2	solute carrier family 20 member 2	Cricetulus griseus	PROTEIN_CODING	4	6575	NCBI Ortholog
100689173	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	Cricetulus griseus	PROTEIN_CODING	2	9394	NCBI Ortholog
100689268	Ubb	ubiquitin B	Cricetulus griseus	PROTEIN_CODING	1	7314	NCBI Ortholog
100689021	Cbr3	carbonyl reductase 3	Cricetulus griseus	PROTEIN_CODING	1	874	NCBI Ortholog
100689309	Kif2c	kinesin family member 2C	Cricetulus griseus	PROTEIN_CODING	3	11004	NCBI Ortholog
100689478	Mt1	metallothionein 1	Cricetulus griseus	PROTEIN_CODING	1		
102466467	Mir7a	microRNA mir-7a	Cricetulus griseus	ncRNA	1		
100689479	Mt2	metallothionein 2	Cricetulus griseus	PROTEIN_CODING	1		
100689016	Polr2a	RNA polymerase II subunit A	Cricetulus griseus	PROTEIN_CODING	1	5430	NCBI Ortholog
100689017	Srebf2	sterol regulatory element binding transcription factor 2	Cricetulus griseus	PROTEIN_CODING	1	6721	NCBI Ortholog
100689054	Dpagt1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1	Cricetulus griseus	PROTEIN_CODING	1	1798	NCBI Ortholog
100689061	Casp3	caspase 3	Cricetulus griseus	PROTEIN_CODING	3	836	NCBI Ortholog
100689064	Ldha	lactate dehydrogenase A	Cricetulus griseus	PROTEIN_CODING	4	3939	NCBI Ortholog
100689100	Cxcl3	chemokine (C-X-C motif) ligand 3	Cricetulus griseus	PROTEIN_CODING	1		
100689276	Eef1a1	eukaryotic translation elongation factor 1 alpha 1	Cricetulus griseus	PROTEIN_CODING	1	1915	NCBI Ortholog
100689292	Rps14	ribosomal protein S14	Cricetulus griseus	PROTEIN_CODING	1	6208	NCBI Ortholog
100689318	Akr1b8	aldo-keto reductase family 1, member B8	Cricetulus griseus	PROTEIN_CODING	1		
100689414	Xrcc1	X-ray repair cross complementing 1	Cricetulus griseus	PROTEIN_CODING	1	7515	NCBI Ortholog
