Gene stable ID,Gene stable ID version,Gene name,Human gene stable ID,Human gene name
ENSCGRG00001000001,ENSCGRG00001000001.1,,,
ENSCGRG00001000002,ENSCGRG00001000002.1,,,
ENSCGRG00001000003,ENSCGRG00001000003.1,,,
ENSCGRG00001000004,ENSCGRG00001000004.1,,,
ENSCGRG00001000005,ENSCGRG00001000005.1,,,
ENSCGRG00001000006,ENSCGRG00001000006.1,ND1,ENSG00000198888,MT-ND1
ENSCGRG00001000007,ENSCGRG00001000007.1,,,
ENSCGRG00001000008,ENSCGRG00001000008.1,,,
ENSCGRG00001000009,ENSCGRG00001000009.1,mt-Tm,,
ENSCGRG00001000010,ENSCGRG00001000010.1,ND2,ENSG00000198763,MT-ND2
ENSCGRG00001000011,ENSCGRG00001000011.1,,,
ENSCGRG00001000012,ENSCGRG00001000012.1,,,
ENSCGRG00001000013,ENSCGRG00001000013.1,,,
ENSCGRG00001000014,ENSCGRG00001000014.1,,,
ENSCGRG00001000015,ENSCGRG00001000015.1,,,
ENSCGRG00001000016,ENSCGRG00001000016.1,COX1,ENSG00000198804,MT-CO1
ENSCGRG00001000017,ENSCGRG00001000017.1,,,
ENSCGRG00001000018,ENSCGRG00001000018.1,,,
ENSCGRG00001000019,ENSCGRG00001000019.1,COX2,ENSG00000198712,MT-CO2
ENSCGRG00001000020,ENSCGRG00001000020.1,,,
ENSCGRG00001000021,ENSCGRG00001000021.1,ATP8,ENSG00000228253,MT-ATP8
ENSCGRG00001000022,ENSCGRG00001000022.1,ATP6,ENSG00000198899,MT-ATP6
ENSCGRG00001000023,ENSCGRG00001000023.1,COX3,ENSG00000198938,MT-CO3
ENSCGRG00001000024,ENSCGRG00001000024.1,,,
ENSCGRG00001000025,ENSCGRG00001000025.1,ND3,ENSG00000198840,MT-ND3
ENSCGRG00001000026,ENSCGRG00001000026.1,,,
ENSCGRG00001000027,ENSCGRG00001000027.1,ND4L,ENSG00000212907,MT-ND4L
ENSCGRG00001000028,ENSCGRG00001000028.1,ND4,ENSG00000198886,MT-ND4
ENSCGRG00001000029,ENSCGRG00001000029.1,,,
ENSCGRG00001000030,ENSCGRG00001000030.1,,,
ENSCGRG00001000031,ENSCGRG00001000031.1,,,
ENSCGRG00001000032,ENSCGRG00001000032.1,ND5,ENSG00000198786,MT-ND5
ENSCGRG00001000033,ENSCGRG00001000033.1,ND6,ENSG00000198695,MT-ND6
ENSCGRG00001000034,ENSCGRG00001000034.1,,,
ENSCGRG00001000035,ENSCGRG00001000035.1,CYTB,ENSG00000198727,MT-CYB
ENSCGRG00001000036,ENSCGRG00001000036.1,,,
ENSCGRG00001000037,ENSCGRG00001000037.1,,,
ENSCGRG00001000038,ENSCGRG00001000038.1,,ENSG00000188155,KRTAP10-6
ENSCGRG00001000038,ENSCGRG00001000038.1,,ENSG00000221837,KRTAP10-9
ENSCGRG00001000038,ENSCGRG00001000038.1,,ENSG00000198271,KRTAP4-5
ENSCGRG00001000038,ENSCGRG00001000038.1,,ENSG00000243489,KRTAP10-11
ENSCGRG00001000038,ENSCGRG00001000038.1,,ENSG00000215454,KRTAP10-4
ENSCGRG00001000038,ENSCGRG00001000038.1,,ENSG00000240542,KRTAP9-1
ENSCGRG00001000039,ENSCGRG00001000039.1,,ENSG00000144713,RPL32
ENSCGRG00001000040,ENSCGRG00001000040.1,,ENSG00000171202,TMEM126A
ENSCGRG00001000041,ENSCGRG00001000041.1,Elp6,ENSG00000163832,ELP6
ENSCGRG00001000042,ENSCGRG00001000042.1,,ENSG00000111640,GAPDH
ENSCGRG00001000043,ENSCGRG00001000043.1,,ENSG00000138071,ACTR2
ENSCGRG00001000044,ENSCGRG00001000044.1,Zfp449,ENSG00000173275,ZNF449
ENSCGRG00001000045,ENSCGRG00001000045.1,,ENSG00000164168,TMEM184C
ENSCGRG00001000046,ENSCGRG00001000046.1,Utp6,ENSG00000108651,UTP6
ENSCGRG00001000047,ENSCGRG00001000047.1,Ccng2,ENSG00000138764,CCNG2
ENSCGRG00001000048,ENSCGRG00001000048.1,Tespa1,ENSG00000135426,TESPA1
ENSCGRG00001000049,ENSCGRG00001000049.1,Tcea2,ENSG00000171703,TCEA2
ENSCGRG00001000050,ENSCGRG00001000050.1,Rad21,ENSG00000164754,RAD21
ENSCGRG00001000051,ENSCGRG00001000051.1,Ednrb,ENSG00000136160,EDNRB
ENSCGRG00001000052,ENSCGRG00001000052.1,Tmem98,ENSG00000006042,TMEM98
ENSCGRG00001000053,ENSCGRG00001000053.1,Prok1,ENSG00000143125,PROK1
ENSCGRG00001000054,ENSCGRG00001000054.1,Emilin3,ENSG00000183798,EMILIN3
ENSCGRG00001000055,ENSCGRG00001000055.1,Dna2,ENSG00000138346,DNA2
ENSCGRG00001000056,ENSCGRG00001000056.1,,,
ENSCGRG00001000057,ENSCGRG00001000057.1,Lpp,ENSG00000145012,LPP
ENSCGRG00001000058,ENSCGRG00001000058.1,,ENSG00000126391,FRMD8
ENSCGRG00001000059,ENSCGRG00001000059.1,Brcc3,ENSG00000185515,BRCC3
ENSCGRG00001000060,ENSCGRG00001000060.1,,ENSG00000111669,TPI1
ENSCGRG00001000061,ENSCGRG00001000061.1,Rmnd5a,ENSG00000153561,RMND5A
ENSCGRG00001000062,ENSCGRG00001000062.1,Gfy,ENSG00000261949,GFY
ENSCGRG00001000063,ENSCGRG00001000063.1,,ENSG00000283361,CFAP97D2
ENSCGRG00001000064,ENSCGRG00001000064.1,,ENSG00000164039,BDH2
ENSCGRG00001000065,ENSCGRG00001000065.1,Nono,ENSG00000147140,NONO
ENSCGRG00001000066,ENSCGRG00001000066.1,Mrpl45,ENSG00000278845,MRPL45
ENSCGRG00001000067,ENSCGRG00001000067.1,,,
ENSCGRG00001000068,ENSCGRG00001000068.1,Slc22a7,ENSG00000137204,SLC22A7
ENSCGRG00001000069,ENSCGRG00001000069.1,Syt1,ENSG00000067715,SYT1
ENSCGRG00001000070,ENSCGRG00001000070.1,,ENSG00000174844,DNAH12
ENSCGRG00001000071,ENSCGRG00001000071.1,Pipox,ENSG00000179761,PIPOX
ENSCGRG00001000072,ENSCGRG00001000072.1,Ace2,ENSG00000130234,ACE2
ENSCGRG00001000073,ENSCGRG00001000073.1,Sinhcaf,ENSG00000139146,SINHCAF
ENSCGRG00001000074,ENSCGRG00001000074.1,Rhox12,,
ENSCGRG00001000075,ENSCGRG00001000075.1,Clrn2,ENSG00000249581,CLRN2
ENSCGRG00001000076,ENSCGRG00001000076.1,Plekhg2,ENSG00000090924,PLEKHG2
ENSCGRG00001000077,ENSCGRG00001000077.1,Xirp1,ENSG00000168334,XIRP1
ENSCGRG00001000078,ENSCGRG00001000078.1,Ctsf,ENSG00000174080,CTSF
ENSCGRG00001000079,ENSCGRG00001000079.1,,,
ENSCGRG00001000080,ENSCGRG00001000080.1,Eda,ENSG00000158813,EDA
ENSCGRG00001000081,ENSCGRG00001000081.1,,,
ENSCGRG00001000082,ENSCGRG00001000082.1,Tmem176b,ENSG00000106565,TMEM176B
ENSCGRG00001000083,ENSCGRG00001000083.1,Krt40,ENSG00000204889,KRT40
